[2024-10-06T21:07:01.754+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T21:07:01.764+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T21:07:01.764+0000] {taskinstance.py:1361} INFO - Starting attempt 15 of 15
[2024-10-06T21:07:01.779+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): upload_to_db> on 2024-10-05 00:00:00+00:00
[2024-10-06T21:07:01.785+0000] {standard_task_runner.py:57} INFO - Started process 69 to run task
[2024-10-06T21:07:01.789+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'upload_to_db', 'scheduled__2024-10-05T00:00:00+00:00', '--job-id', '136', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpsjwxv1gj']
[2024-10-06T21:07:01.791+0000] {standard_task_runner.py:85} INFO - Job 136: Subtask upload_to_db
[2024-10-06T21:07:01.812+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T21:07:01.860+0000] {task_command.py:416} INFO - Running <TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [running]> on host 57e23b2c904e
[2024-10-06T21:07:01.954+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flight_data_pipeline' AIRFLOW_CTX_TASK_ID='upload_to_db' AIRFLOW_CTX_EXECUTION_DATE='2024-10-05T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='15' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-10-05T00:00:00+00:00'
[2024-10-06T21:07:02.025+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Koltsovo International', 'Asia-Yekaterinburg', 'Beijing Daxing International Airport', '+8', '3', 'Ural Airlines', '703')
[2024-10-06T21:07:02.026+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia-Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Oman Air', '5559')
[2024-10-06T21:07:02.026+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Beijing Daxing International Airport', '+8', 'Krasnojarsk', 'Asia/Krasnoyarsk', '1', 'Rossiya Airlines', '6622')
[2024-10-06T21:07:02.027+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia-Tokyo', 'Singapore Changi', 'Asia/Singapore', '1', 'AlphaSky', '7349')
[2024-10-06T21:07:02.027+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Lohegaon', 'Asia-Kolkata', 'Devi Ahilyabai Holkar', 'Asia/Kolkata', '1', 'IndiGo', '284')
[2024-10-06T21:07:02.027+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific-Auckland', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '2', 'Air New Zealand', '211')
[2024-10-06T21:07:02.027+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific-Auckland', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '2', 'United Airlines', '6795')
[2024-10-06T21:07:02.028+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific-Auckland', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '2', 'Turkish Airlines', '8769')
[2024-10-06T21:07:02.028+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific-Auckland', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '2', 'Thai Airways International', '4830')
[2024-10-06T21:07:02.028+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific-Auckland', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '2', 'Singapore Airlines', '4311')
[2024-10-06T21:07:02.029+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific-Auckland', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '2', 'Etihad Airways', '4427')
[2024-10-06T21:07:02.029+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Townsville International', 'Australia-Brisbane', 'Brisbane International', 'Australia/Brisbane', 'D', 'Etihad Airways', '6925')
[2024-10-06T21:07:02.029+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Gold Coast (coolangatta)', 'Australia-Brisbane', 'Queenstown', 'Pacific/Auckland', None, 'Jetstar', '193')
[2024-10-06T21:07:02.030+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Melbourne - Tullamarine Airport', 'Australia-Melbourne', 'Maroochydore', 'Australia/Brisbane', 'D', 'Jetstar', '792')
[2024-10-06T21:07:02.030+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Mactan-Cebu International', 'Asia-Manila', 'Singapore Changi', 'Asia/Singapore', '1', 'Singapore Airlines', '8441')
[2024-10-06T21:07:02.030+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Xianyang', 'Asia-Shanghai', 'Tan Son Nhat International', 'Asia/Ho_Chi_Minh', 'T1', None, '4360')
[2024-10-06T21:07:02.031+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Xianyang', 'Asia-Shanghai', 'Jeju Airport', 'Asia/Seoul', 'I', 'Korean Air', '5060')
[2024-10-06T21:07:02.031+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Hobart', 'Australia-Hobart', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '3', 'Singapore Airlines', '6579')
[2024-10-06T21:07:02.031+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Hobart', 'Australia-Hobart', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '3', 'Qatar Airways', '8515')
[2024-10-06T21:07:02.032+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Hobart', 'Australia-Hobart', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '3', 'Etihad Airways', '6619')
[2024-10-06T21:07:02.032+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Cairns', 'Australia-Brisbane', 'Brisbane International', 'Australia/Brisbane', 'D', 'QantasLink', '1899')
[2024-10-06T21:07:02.032+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Townsville International', 'Australia-Brisbane', 'Brisbane International', 'Australia/Brisbane', 'D', 'Alliance Airlines', '1871')
[2024-10-06T21:07:02.033+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Williamtown', 'Australia-Sydney', 'Brisbane International', 'Australia/Brisbane', 'D', 'QantasLink', '1962')
[2024-10-06T21:07:02.033+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Brisbane International', 'Australia-Brisbane', 'Moranbah', 'Australia/Brisbane', None, 'National Jet Express', '342')
[2024-10-06T21:07:02.033+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Brisbane International', 'Australia-Brisbane', 'Emerald', 'Australia/Brisbane', None, 'Alliance Airlines', '1790')
[2024-10-06T21:07:02.033+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Tan Son Nhat International', 'Asia-Ho_Chi_Minh', 'Chu-Bu Centrair International (Central Japan International)', 'Asia/Tokyo', '1', 'Vietnam Airlines', '340')
[2024-10-06T21:07:02.034+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Madras International (Meenambakkam)', 'Asia-Kolkata', 'Abu Dhabi International', 'Asia/Dubai', 'TA', 'IndiGo', '1458')
[2024-10-06T21:07:02.034+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia-Seoul', 'Duong Dong', 'Asia/Ho_Chi_Minh', '2', None, '2975')
[2024-10-06T21:07:02.034+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Melbourne - Tullamarine Airport', 'Australia-Melbourne', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '3', 'Qantas', '414')
[2024-10-06T21:07:02.035+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Nadi International', 'Pacific-Fiji', 'Matei', 'Pacific/Fiji', None, 'Fiji Airways', '151')
[2024-10-06T21:07:02.035+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Sardar Vallabhbhai Patel International Airport', 'Asia-Kolkata', 'Noibai International', 'Asia/Ho_Chi_Minh', 'T2', 'VietJet Air', '1926')
[2024-10-06T21:07:02.035+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Sardar Vallabhbhai Patel International Airport', 'Asia-Kolkata', 'Noibai International', 'Asia/Ho_Chi_Minh', 'T2', None, '4926')
[2024-10-06T21:07:02.036+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Auckland International', 'Pacific-Auckland', 'Adelaide International Airport', 'Australia/Adelaide', '1', 'Air China LTD', '5105')
[2024-10-06T21:07:02.036+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Canberra', 'Australia-Sydney', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '3', 'QantasLink', '1424')
[2024-10-06T21:07:02.036+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Canberra', 'Australia-Sydney', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '3', 'QantasLink', '1422')
[2024-10-06T21:07:02.036+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Townsville International', 'Australia-Brisbane', 'Brisbane International', 'Australia/Brisbane', 'D', 'Air New Zealand', '7423')
[2024-10-06T21:07:02.037+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Ngurah Rai International', 'Asia-Makassar', 'Shenzhen', 'Asia/Shanghai', 'T3', 'China Southern Airlines', '6066')
[2024-10-06T21:07:02.037+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Chhatrapati Shivaji International (Sahar International)', 'Asia-Kolkata', 'Indira Gandhi International', 'Asia/Kolkata', '3', 'Air India Express', '2773')
[2024-10-06T21:07:02.037+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Wellington International', 'Pacific-Auckland', 'Nelson', 'Pacific/Auckland', None, 'Sounds Air', '343')
[2024-10-06T21:07:02.037+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Tagbilaran', 'Asia-Manila', 'Seoul (Incheon)', 'Asia/Seoul', '1', 'Air Busan', '7145')
[2024-10-06T21:07:02.038+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Hong Kong International', 'Asia-Hong_Kong', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '2', 'Cathay Pacific', '105')
[2024-10-06T21:07:02.038+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Beijing Capital International', 'Asia-Shanghai', 'Istanbul Airport', 'Europe/Istanbul', 'I', 'Turkish Airlines', '89')
[2024-10-06T21:07:02.038+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Beijing Capital International', 'Asia-Shanghai', 'Bole International', 'Africa/Addis_Ababa', '2', 'Ethiopian Airlines', '605')
[2024-10-06T21:07:02.038+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Beijing Capital International', 'Asia-Shanghai', 'Singapore Changi', 'Asia/Singapore', '1', 'Air China LTD', '975')
[2024-10-06T21:07:02.038+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia-Tokyo', 'Beijing Capital International', 'Asia/Shanghai', '2', 'Hainan Airlines', '7920')
[2024-10-06T21:07:02.039+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia-Tokyo', 'Shanghai Pudong International', 'Asia/Shanghai', '2', 'Peach Aviation', '899')
[2024-10-06T21:07:02.039+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia-Tokyo', 'Hong Kong International', 'Asia/Hong_Kong', '1', 'Hong Kong Express', '629')
[2024-10-06T21:07:02.039+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia-Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Turkish Airlines', '4806')
[2024-10-06T21:07:02.040+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia-Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Qatar Airways', '5019')
[2024-10-06T21:07:02.040+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia-Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Air Mauritius', '9781')
[2024-10-06T21:07:02.040+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia-Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'KLM', '3962')
[2024-10-06T21:07:02.040+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia-Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Firefly', '7156')
[2024-10-06T21:07:02.040+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Griffith', 'Australia-Sydney', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '3', 'QantasLink', '2122')
[2024-10-06T21:07:02.041+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Singapore Changi', 'Asia-Singapore', 'Fukuoka', 'Asia/Tokyo', 'I', 'ANA', '6270')
[2024-10-06T21:07:02.041+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Singapore Changi', 'Asia-Singapore', 'Beijing Capital International', 'Asia/Shanghai', '3', 'Air China LTD', '5286')
